ParticipantID,BatteryChargeStartDate,BatteryChargeStopDate,Starting SoC (of 12),Ending SoC (of 12)
GC10,2014-04-16 14:10 ,2014-04-16 14:39 ,6,10
GC10,2014-04-17 07:31 ,2014-04-17 08:42 ,4,5
GC10,2014-04-17 09:38 ,2014-04-17 10:20 ,3,10
GC10,2014-04-17 19:30 ,2014-04-18 06:12 ,1,12
GC10,2014-04-18 21:46 ,2014-04-19 05:17 ,5,12
GC10,2014-04-19 18:57 ,2014-04-20 02:07 ,6,12
GC10,2014-04-20 19:04 ,2014-04-21 00:45 ,7,12
GC10,2014-04-21 21:34 ,2014-04-22 02:23 ,8,12
GC10,2014-04-22 06:54 ,2014-04-22 09:42 ,10,12
GC10,2014-04-22 11:17 ,2014-04-22 12:34 ,12,12
GC10,2014-04-22 21:14 ,2014-04-23 02:15 ,7,12
GC10,2014-04-23 06:59 ,2014-04-23 09:19 ,10,12
GC10,2014-04-23 11:52 ,2014-04-23 13:14 ,9,10
GC10,2014-04-23 14:05 ,2014-04-23 17:03 ,10,12
GC10,2014-04-24 06:33 ,2014-04-24 12:00 ,5,12
GC10,2014-04-24 15:05 ,2014-04-24 15:20 ,11,11
GC10,2014-04-25 12:33 ,2014-04-25 14:54 ,10,12
GC10,2014-04-25 21:45 ,2014-04-26 05:45 ,4,12
GC10,2014-04-26 14:50 ,2014-04-26 16:15 ,9,11
GC10,2014-04-27 20:40 ,2014-04-27 20:43 ,5,5
GC10,2014-04-27 20:50 ,2014-04-28 00:58 ,5,9
GC10,2014-04-28 07:59 ,2014-04-28 11:18 ,10,12
GC10,2014-04-29 22:04 ,2014-04-30 05:43 ,5,12
GC10,2014-04-30 08:01 ,2014-04-30 09:41 ,9,11
GC10,2014-04-30 10:10 ,2014-04-30 12:32 ,11,12
GC10,2014-04-30 16:19 ,2014-04-30 16:59 ,11,11
GC10,2014-04-30 23:01 ,2014-05-01 07:27 ,4,12
GC10,2014-05-01 18:44 ,2014-05-01 23:09 ,8,12
GC10,2014-05-02 11:08 ,2014-05-02 11:21 ,9,9
GC10,2014-05-02 11:32 ,2014-05-02 15:14 ,9,12
GC10,2014-05-03 23:10 ,2014-05-04 05:14 ,2,9
GC10,2014-05-04 17:52 ,2014-05-04 21:10 ,10,12
GC10,2014-05-05 08:35 ,2014-05-05 11:26 ,9,12
GC10,2014-05-06 11:36 ,2014-05-06 13:52 ,4,6
GC10,2014-05-06 14:01 ,2014-05-06 14:37 ,6,11
GC10,2014-05-06 18:44 ,2014-05-07 00:24 ,7,12
GC10,2014-05-07 19:55 ,2014-05-07 20:53 ,1,11
GC10,2014-05-08 08:01 ,2014-05-08 09:04 ,6,7
GC10,2014-05-08 09:51 ,2014-05-08 15:14 ,7,12
GC10,2014-05-08 16:35 ,2014-05-08 17:28 ,4,12
GC10,2014-05-09 06:53 ,2014-05-09 07:53 ,3,11
GC10,2014-05-11 07:33 ,2014-05-11 08:33 ,3,11
GC10,2014-05-11 13:10 ,2014-05-11 13:51 ,3,11
GC10,2014-05-11 18:33 ,2014-05-11 19:22 ,1,11
GC10,2014-05-12 09:40 ,2014-05-12 16:03 ,3,10
GC10,2014-05-13 10:38 ,2014-05-13 14:39 ,5,9
GC10,2014-05-13 18:11 ,2014-05-14 00:51 ,6,12
GC10,2014-05-14 08:24 ,2014-05-14 09:18 ,0,11
GC10,2014-05-14 12:49 ,2014-05-14 13:44 ,3,11
GC10,2014-05-16 16:54 ,2014-05-16 17:22 ,2,9
GC10,2014-05-16 18:30 ,2014-05-16 19:15 ,1,10
GC10,2014-05-17 13:47 ,2014-05-17 14:28 ,1,10
GC10,2014-05-18 19:22 ,2014-05-19 04:23 ,3,12
GC10,2014-05-19 06:21 ,2014-05-19 08:55 ,10,12
GC10,2014-05-19 10:25 ,2014-05-19 11:46 ,12,12
GC10,2014-05-20 11:30 ,2014-05-20 12:40 ,5,6
GC10,2014-05-20 14:24 ,2014-05-20 17:19 ,7,10
GC10,2014-05-20 17:49 ,2014-05-20 20:53 ,10,12
GC10,2014-05-21 07:18 ,2014-05-21 11:10 ,8,12
GC10,2014-05-24 22:32 ,2014-05-25 07:55 ,2,12
GC10,2014-05-25 21:17 ,2014-05-26 03:53 ,6,12
GC10,2014-05-26 11:31 ,2014-05-26 16:27 ,7,12
GC10,2014-05-27 07:05 ,2014-05-27 12:14 ,7,12
GC10,2014-05-27 17:15 ,2014-05-27 19:01 ,11,12
GC10,2014-05-28 07:38 ,2014-05-28 13:56 ,6,12
GC10,2014-05-29 06:16 ,2014-05-29 09:21 ,7,10
GC10,2014-05-29 09:49 ,2014-05-29 13:04 ,10,12
GC10,2014-05-30 07:38 ,2014-05-30 08:08 ,3,10
GC10,2014-05-30 08:56 ,2014-05-30 09:32 ,4,11
GC10,2014-05-31 06:43 ,2014-05-31 07:42 ,1,11
GC10,2014-06-01 13:39 ,2014-06-01 14:32 ,3,11
GC10,2014-06-01 16:20 ,2014-06-01 17:15 ,1,11
GC10,2014-06-02 09:04 ,2014-06-02 16:04 ,5,12
GC10,2014-06-03 06:59 ,2014-06-03 09:56 ,7,10
