ParticipantID,BatteryChargeStartDate,BatteryChargeStopDate,Starting SoC (of 12),Ending SoC (of 12)
GC03,2013-12-22 08:59 ,2013-12-22 10:09 ,8,10
GC03,2013-12-22 14:31 ,2013-12-22 19:30 ,5,12
GC03,2013-12-25 16:44 ,2013-12-25 19:32 ,10,12
GC03,2013-12-26 11:35 ,2013-12-26 12:33 ,8,10
GC03,2013-12-27 00:10 ,2013-12-27 06:00 ,3,12
GC03,2013-12-29 13:18 ,2013-12-29 14:37 ,7,10
GC03,2013-12-30 00:10 ,2013-12-30 05:55 ,4,12
GC03,2013-12-31 00:10 ,2013-12-31 06:23 ,3,12
GC03,2014-01-03 10:53 ,2014-01-03 12:36 ,9,11
GC03,2014-01-03 17:59 ,2014-01-04 00:07 ,3,12
GC03,2014-01-04 14:52 ,2014-01-04 16:17 ,10,11
GC03,2014-01-05 08:42 ,2014-01-05 10:26 ,8,11
GC03,2014-01-05 13:56 ,2014-01-05 20:22 ,2,12
GC03,2014-01-11 09:26 ,2014-01-11 15:09 ,4,12
GC03,2014-01-13 00:10 ,2014-01-13 05:02 ,6,12
GC03,2014-01-16 00:10 ,2014-01-16 05:39 ,4,12
GC03,2014-01-17 18:38 ,2014-01-17 23:42 ,5,12
GC03,2014-01-30 00:10 ,2014-01-30 05:51 ,3,12
GC03,2014-01-31 18:45 ,2014-01-31 22:40 ,8,12
GC03,2014-02-02 08:37 ,2014-02-02 14:21 ,4,12
GC03,2014-02-04 10:50 ,2014-02-04 12:44 ,8,11
GC03,2014-02-04 18:38 ,2014-02-05 00:25 ,4,12
GC03,2014-02-07 16:57 ,2014-02-07 21:19 ,7,12
GC03,2014-02-11 17:26 ,2014-02-11 18:14 ,6,7
GC03,2014-02-11 18:21 ,2014-02-11 22:19 ,7,12
GC03,2014-02-14 17:02 ,2014-02-14 22:15 ,6,12
GC03,2014-02-16 11:01 ,2014-02-16 15:02 ,9,12
GC03,2014-02-21 18:49 ,2014-02-22 00:05 ,4,12
GC03,2014-02-28 19:44 ,2014-03-01 01:20 ,4,12
GC03,2014-03-03 19:36 ,2014-03-04 01:35 ,3,12
GC03,2014-03-10 19:41 ,2014-03-11 00:53 ,5,12
GC03,2014-03-14 17:15 ,2014-03-14 22:10 ,5,12
GC03,2014-03-18 17:16 ,2014-03-18 22:54 ,3,12
GC03,2014-03-21 08:01 ,2014-03-21 10:10 ,9,12
GC03,2014-03-21 15:29 ,2014-03-21 20:10 ,6,12
GC03,2014-03-28 16:09 ,2014-03-28 21:33 ,4,12
GC03,2014-03-31 18:11 ,2014-03-31 22:09 ,7,12
GC03,2014-04-04 16:04 ,2014-04-04 20:42 ,6,12
GC03,2014-04-05 11:17 ,2014-04-05 16:37 ,4,12
GC03,2014-04-10 15:57 ,2014-04-10 21:10 ,4,12
GC03,2014-04-13 09:19 ,2014-04-13 10:20 ,8,9
GC03,2014-04-15 15:52 ,2014-04-15 21:12 ,4,12
GC03,2014-04-18 16:08 ,2014-04-18 19:45 ,8,12
GC03,2014-04-27 16:24 ,2014-04-27 21:22 ,4,12
GC03,2014-05-07 16:48 ,2014-05-07 21:47 ,4,12
GC03,2014-05-11 16:06 ,2014-05-11 20:06 ,7,12
GC03,2014-05-14 17:17 ,2014-05-14 21:41 ,5,12
GC03,2014-05-20 14:48 ,2014-05-20 19:05 ,5,12
GC03,2014-05-23 12:14 ,2014-05-23 13:39 ,7,8
GC03,2014-05-27 15:52 ,2014-05-27 21:01 ,4,12
GC03,2014-05-30 15:55 ,2014-05-30 19:39 ,7,12
GC03,2014-06-05 18:58 ,2014-06-05 23:26 ,5,12
GC03,2014-06-07 08:25 ,2014-06-07 10:30 ,8,10
GC03,2014-06-07 16:09 ,2014-06-07 21:23 ,3,12
GC03,2014-06-11 19:35 ,2014-06-11 23:30 ,6,12
GC03,2014-06-22 17:15 ,2014-06-22 20:43 ,7,12
GC03,2014-06-26 16:04 ,2014-06-26 20:52 ,4,12
GC03,2014-06-28 07:21 ,2014-06-28 11:16 ,7,12
GC03,2014-07-05 12:13 ,2014-07-05 16:38 ,5,12
GC03,2014-07-10 18:49 ,2014-07-10 22:10 ,7,12
GC03,2014-07-13 12:28 ,2014-07-13 16:34 ,6,12
GC03,2014-07-16 21:59 ,2014-07-17 02:56 ,4,12
GC03,2014-07-20 08:50 ,2014-07-20 12:12 ,7,12
GC03,2014-07-21 19:13 ,2014-07-21 23:25 ,6,12
GC03,2014-07-27 07:45 ,2014-07-27 08:21 ,8,8
GC08,2013-12-31 17:30 ,2013-12-31 20:35 ,9,12
GC08,2014-01-01 13:24 ,2014-01-01 16:03 ,9,12
GC08,2014-01-05 15:04 ,2014-01-05 18:41 ,8,12
GC08,2014-01-06 15:47 ,2014-01-06 17:55 ,10,12
GC08,2014-01-07 16:09 ,2014-01-07 18:56 ,9,12
GC08,2014-01-08 17:28 ,2014-01-08 20:54 ,7,12
GC08,2014-01-09 16:57 ,2014-01-09 20:27 ,8,12
GC08,2014-01-10 19:32 ,2014-01-10 21:51 ,10,12
GC08,2014-01-12 09:11 ,2014-01-12 11:13 ,10,12
GC08,2014-01-12 15:47 ,2014-01-12 18:17 ,10,12
GC08,2014-01-13 20:27 ,2014-01-13 23:04 ,9,12
GC08,2014-01-14 20:37 ,2014-01-14 22:33 ,11,12
GC08,2014-01-16 08:55 ,2014-01-16 11:04 ,10,12
GC08,2014-01-16 20:24 ,2014-01-16 21:56 ,11,12
GC08,2014-01-17 20:19 ,2014-01-18 01:24 ,5,12
GC08,2014-01-18 17:41 ,2014-01-18 18:13 ,7,8
GC08,2014-01-19 17:04 ,2014-01-19 20:06 ,9,12
GC08,2014-01-20 13:02 ,2014-01-20 13:32 ,4,10
GC08,2014-01-20 14:46 ,2014-01-20 22:53 ,1,12
GC08,2014-01-21 16:09 ,2014-01-21 20:38 ,6,12
GC08,2014-01-22 15:48 ,2014-01-22 18:49 ,9,12
GC08,2014-01-23 16:43 ,2014-01-23 22:30 ,3,12
GC08,2014-01-24 17:10 ,2014-01-24 19:13 ,10,12
GC08,2014-01-25 16:40 ,2014-01-25 20:23 ,8,12
GC08,2014-01-26 20:07 ,2014-01-27 00:57 ,5,12
GC08,2014-01-27 18:19 ,2014-01-27 21:32 ,8,12
GC08,2014-01-28 17:10 ,2014-01-28 20:18 ,8,12
GC08,2014-01-29 20:14 ,2014-01-30 00:08 ,7,12
GC08,2014-01-31 23:57 ,2014-02-01 03:54 ,7,12
GC08,2014-02-02 16:35 ,2014-02-02 20:34 ,7,12
GC08,2014-02-03 14:07 ,2014-02-03 17:24 ,9,12
GC08,2014-02-03 20:39 ,2014-02-04 00:42 ,7,12
GC08,2014-02-04 17:20 ,2014-02-04 20:14 ,9,12
GC08,2014-02-05 15:42 ,2014-02-05 19:37 ,7,12
GC08,2014-02-06 16:46 ,2014-02-07 00:11 ,3,12
GC08,2014-02-08 21:00 ,2014-02-09 02:23 ,5,12
GC08,2014-02-10 18:35 ,2014-02-10 21:31 ,9,12
GC08,2014-02-11 15:46 ,2014-02-11 18:23 ,9,12
GC08,2014-02-12 16:53 ,2014-02-12 19:36 ,9,12
GC08,2014-02-13 16:34 ,2014-02-13 20:22 ,7,12
GC08,2014-02-14 17:09 ,2014-02-14 20:40 ,8,12
GC08,2014-02-15 13:45 ,2014-02-15 15:53 ,10,12
GC08,2014-02-15 22:44 ,2014-02-16 05:26 ,2,12
GC08,2014-02-16 16:16 ,2014-02-16 20:16 ,7,12
GC08,2014-02-17 18:01 ,2014-02-17 22:22 ,7,12
GC08,2014-02-18 21:38 ,2014-02-18 23:41 ,10,12
GC08,2014-02-19 17:51 ,2014-02-19 19:49 ,11,12
GC08,2014-02-21 20:17 ,2014-02-21 23:47 ,8,12
GC08,2014-02-22 17:14 ,2014-02-22 20:38 ,9,12
GC08,2014-02-24 20:27 ,2014-02-25 00:47 ,7,12
GC08,2014-02-25 15:47 ,2014-02-25 21:18 ,4,12
GC08,2014-02-26 18:04 ,2014-02-26 18:34 ,4,10
GC08,2014-02-26 19:40 ,2014-02-27 03:32 ,2,12
GC08,2014-02-27 18:41 ,2014-02-27 21:03 ,10,12
GC08,2014-02-28 20:42 ,2014-03-01 01:14 ,6,12
GC08,2014-03-02 18:05 ,2014-03-02 21:28 ,8,12
GC08,2014-03-03 20:25 ,2014-03-03 23:52 ,8,12
GC08,2014-03-04 19:46 ,2014-03-05 00:13 ,6,12
GC08,2014-03-05 16:06 ,2014-03-05 16:36 ,7,10
GC08,2014-03-05 17:19 ,2014-03-05 21:37 ,7,12
GC08,2014-03-06 16:48 ,2014-03-06 19:22 ,10,12
GC08,2014-03-07 19:09 ,2014-03-07 23:17 ,7,12
GC08,2014-03-09 16:57 ,2014-03-09 20:47 ,7,12
GC08,2014-03-10 20:25 ,2014-03-11 00:54 ,6,12
GC08,2014-03-11 14:40 ,2014-03-11 15:35 ,5,11
GC08,2014-03-13 19:01 ,2014-03-14 00:21 ,4,12
GC08,2014-03-14 20:14 ,2014-03-15 01:10 ,6,12
GC08,2014-03-17 17:44 ,2014-03-17 20:07 ,3,8
GC08,2014-03-17 20:26 ,2014-03-18 00:27 ,8,12
GC08,2014-03-18 19:14 ,2014-03-18 23:00 ,8,12
GC08,2014-03-19 18:49 ,2014-03-19 21:25 ,10,12
GC08,2014-03-20 16:50 ,2014-03-20 21:16 ,6,12
GC08,2014-03-22 19:13 ,2014-03-22 22:49 ,7,12
GC08,2014-03-24 16:59 ,2014-03-24 20:36 ,7,12
GC08,2014-03-27 16:45 ,2014-03-27 21:21 ,5,12
GC08,2014-03-28 17:09 ,2014-03-28 21:06 ,7,12
