ParticipantID,ICB_ID,MC_ID,DistanceFromSubstation,ExpectedPhase,ActualPhase,EVDeliveryDate,LeaseEndDate,DecommissionDate,ParticipantExitDate,Location
SS205,13239,14127,248,1,1,2014-05-15,2015-11-15,2015-10-06,NULL,NE34
SS206,14579,14127,283,1,1,2014-06-06,2015-12-06,2015-10-05,NULL,NE34
SS207,14508,14127,332,3,3,2014-05-15,2015-11-15,2015-10-06,NULL,NE34
SS208,14580,14127,285,1,1,2014-05-16,2015-11-16,2015-10-06,NULL,NE34
SS209,14630,14127,305,3,3,2014-06-12,2015-12-12,2015-10-06,NULL,NE34
SS210,14582,14127,285,1,1,2014-05-16,2015-11-16,2015-10-06,NULL,NE34
SS211,13232,14127,332,3,3,2014-06-02,2015-12-05,2015-10-06,NULL,NE34
SS212,14584,14127,245,1,1,2014-05-16,2015-11-16,2015-10-06,NULL,NE34
WC01,13277,13387,193,3,3,2014-03-14,2015-09-14,2015-09-07,NULL,NE41
WC02,15229,13387,282,2,2,2013-12-20,2015-06-20,2015-10-05,NULL,NE41
WC03,15166,13387,272,2,2,2014-04-02,2015-10-02,2015-03-25,2015-04-01,NE41
WC04,15167,13387,170,1,1,2014-03-21,2015-09-21,2015-09-08,NULL,NE41
WC05,14645,13387,170,3,3,2013-12-20,2015-06-24,2015-09-08,NULL,NE41
WC06,14518,13387,283,3,3,2014-02-07,2015-08-07,2015-09-08,NULL,NE41
WC07,14628,13387,203,1,1,2013-12-31,2015-06-30,2015-09-08,NULL,NE41
WC08,14643,13387,123,3,3,2014-03-18,2015-09-18,2015-09-07,NULL,NE41
WC09,14494,13387,150,3,3,2014-03-24,2015-09-24,2015-09-08,NULL,NE41
WC11,14513,13387,170,3,3,2014-02-24,2015-08-24,2015-09-08,NULL,NE41
SW01,NULL,NULL,NULL,NULL,NULL,2014-06-27,2015-12-27,NULL,NULL,SL6
SW03,NULL,NULL,NULL,NULL,NULL,2014-07-04,2016-01-04,NULL,NULL,UB3
SW04,NULL,NULL,NULL,NULL,NULL,2014-07-04,2016-07-04,NULL,NULL,HP14
SW05,NULL,NULL,NULL,NULL,NULL,2014-06-30,2015-12-30,NULL,NULL,SL3
SW06,NULL,NULL,NULL,NULL,NULL,2014-07-18,2016-01-18,NULL,NULL,SL9
SW07,NULL,NULL,NULL,NULL,NULL,2014-10-13,2016-04-13,NULL,NULL,SL6
SW09,NULL,NULL,NULL,NULL,NULL,2014-07-03,2016-01-03,NULL,NULL,SL2
SW10,NULL,NULL,NULL,NULL,NULL,2014-07-03,2016-01-03,NULL,NULL,SL3
SW11,NULL,NULL,NULL,NULL,NULL,2014-07-08,2016-01-08,NULL,NULL,RG24
SW12,NULL,NULL,NULL,NULL,NULL,2014-08-08,2016-02-08,NULL,NULL,GU52
YH01,NULL,14621,NULL,NULL,NULL,2014-05-29,2015-11-29,NULL,NULL,NE6
YH02,NULL,14621,NULL,NULL,NULL,2014-05-30,2015-11-30,NULL,NULL,NE65
YH03,NULL,14621,NULL,NULL,NULL,2014-05-30,2015-11-30,NULL,NULL,NE28
YH04,NULL,14621,NULL,NULL,NULL,2014-05-21,2015-11-21,NULL,NULL,NE40
YH05,NULL,14621,NULL,NULL,NULL,2014-05-21,2015-11-21,NULL,NULL,NE65
YH06,NULL,14621,NULL,NULL,NULL,2014-05-21,2015-11-21,NULL,NULL,NE28
YH08,NULL,14621,NULL,NULL,NULL,2014-05-30,2015-11-30,NULL,NULL,NE63
YH09,NULL,14621,NULL,NULL,NULL,2014-06-11,2015-12-12,NULL,NULL,CA6
YH10,NULL,14621,NULL,NULL,NULL,2014-05-29,2015-11-29,NULL,NULL,NE26
YH11,NULL,14621,NULL,NULL,NULL,2014-05-29,2015-11-30,NULL,NULL,NE65
YH12,NULL,14621,NULL,NULL,NULL,2014-05-29,2015-11-29,NULL,NULL,NE6
YH13,NULL,14621,NULL,NULL,NULL,2014-05-30,2015-11-30,NULL,NULL,NE30
YH14,NULL,14621,NULL,NULL,NULL,2014-05-30,2015-11-30,NULL,NULL,NE6
ST1000,NULL,NULL,NULL,NULL,NULL,2014-02-06,2015-08-06,NULL,NULL,G13
ST1001,NULL,NULL,NULL,NULL,NULL,2014-02-28,2015-08-28,NULL,NULL,KW17
ST1002,NULL,NULL,NULL,NULL,NULL,2014-02-28,2015-08-28,NULL,NULL,RG20
